epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,2523.84,0.46564,0.37185,0.80556,0.94687,0.8917,0.95197,0.81646,0.44237,0.37787,0.79134,0.0009,0.0009,0.0009
114,2546.09,0.46064,0.37495,0.81028,0.93733,0.88442,0.94653,0.82784,0.41437,0.37141,0.78738,0.000896875,0.000896875,0.000896875
115,2568.41,0.45392,0.36725,0.80845,0.94404,0.89269,0.95316,0.82488,0.41438,0.35558,0.78856,0.00089375,0.00089375,0.00089375
116,2590.69,0.45686,0.36707,0.80805,0.95211,0.89093,0.95577,0.82693,0.41712,0.34767,0.78784,0.000890625,0.000890625,0.000890625
117,2612.98,0.45088,0.36282,0.80985,0.93926,0.89134,0.95148,0.82944,0.42246,0.35791,0.78918,0.0008875,0.0008875,0.0008875
118,2635.25,0.44506,0.36088,0.80451,0.93999,0.89645,0.95143,0.82262,0.42395,0.35998,0.78928,0.000884375,0.000884375,0.000884375
119,2657.55,0.45546,0.36924,0.80914,0.94497,0.89287,0.95147,0.82652,0.41568,0.36599,0.78906,0.00088125,0.00088125,0.00088125
120,2679.79,0.45438,0.36482,0.80696,0.94731,0.89936,0.95383,0.83084,0.42254,0.35326,0.78961,0.000878125,0.000878125,0.000878125
121,2702.16,0.45561,0.36508,0.80856,0.94221,0.88699,0.95218,0.83104,0.41522,0.35787,0.78863,0.000875,0.000875,0.000875
122,2724.36,0.45223,0.36571,0.80728,0.94788,0.89616,0.95217,0.81799,0.44817,0.36975,0.79185,0.000871875,0.000871875,0.000871875
123,2746.75,0.46498,0.37114,0.80575,0.94784,0.89666,0.95367,0.82706,0.42174,0.35007,0.78872,0.00086875,0.00086875,0.00086875
124,2768.98,0.44965,0.35487,0.80686,0.95056,0.89562,0.95342,0.83243,0.41334,0.34769,0.7872,0.000865625,0.000865625,0.000865625
125,2791.18,0.44385,0.35486,0.80722,0.95244,0.8904,0.95482,0.83627,0.40406,0.35409,0.78725,0.0008625,0.0008625,0.0008625
126,2813.52,0.44787,0.3634,0.80817,0.93783,0.89468,0.95136,0.82537,0.41679,0.36407,0.78759,0.000859375,0.000859375,0.000859375
127,2835.8,0.44553,0.36214,0.80759,0.93924,0.9071,0.95617,0.83728,0.40718,0.35016,0.78687,0.00085625,0.00085625,0.00085625
128,2858.08,0.45251,0.35915,0.80697,0.93319,0.90946,0.95658,0.83422,0.42121,0.35284,0.788,0.000853125,0.000853125,0.000853125
129,2880.39,0.45542,0.36411,0.80752,0.94601,0.89621,0.95755,0.83695,0.41476,0.35012,0.78723,0.00085,0.00085,0.00085
130,2902.62,0.44999,0.36357,0.80719,0.93536,0.91159,0.95661,0.83529,0.40523,0.35061,0.78782,0.000846875,0.000846875,0.000846875
131,2924.76,0.43979,0.35604,0.80645,0.93831,0.90475,0.95353,0.82909,0.41508,0.35379,0.78706,0.00084375,0.00084375,0.00084375
132,2947.05,0.45129,0.36107,0.80457,0.94977,0.89268,0.95348,0.83819,0.39313,0.3503,0.78351,0.000840625,0.000840625,0.000840625
133,2969.3,0.44371,0.3519,0.80687,0.94173,0.89762,0.95121,0.81635,0.46571,0.36054,0.78958,0.0008375,0.0008375,0.0008375
134,2991.54,0.4552,0.35845,0.80826,0.9468,0.89797,0.95335,0.82478,0.43299,0.3508,0.78905,0.000834375,0.000834375,0.000834375
135,3013.92,0.44534,0.34721,0.80636,0.95128,0.90078,0.95591,0.84091,0.41088,0.34533,0.78576,0.00083125,0.00083125,0.00083125
136,3036.21,0.44016,0.34769,0.80418,0.94388,0.89967,0.9544,0.8394,0.39595,0.3418,0.78548,0.000828125,0.000828125,0.000828125
137,3058.4,0.4421,0.34633,0.80363,0.93397,0.90448,0.95025,0.82919,0.42356,0.34971,0.78793,0.000825,0.000825,0.000825
138,3080.7,0.44394,0.34565,0.80414,0.94424,0.90302,0.95699,0.838,0.40652,0.34319,0.78534,0.000821875,0.000821875,0.000821875
139,3102.94,0.4465,0.35015,0.80905,0.95302,0.89762,0.95676,0.83865,0.41794,0.34517,0.78683,0.00081875,0.00081875,0.00081875
140,3125.16,0.43264,0.34092,0.80319,0.95433,0.89606,0.95433,0.84161,0.38874,0.3389,0.78611,0.000815625,0.000815625,0.000815625
141,3147.4,0.44238,0.34904,0.80987,0.95073,0.89011,0.95327,0.83078,0.42419,0.35711,0.78739,0.0008125,0.0008125,0.0008125
142,3169.71,0.45117,0.35273,0.8047,0.95805,0.88394,0.95417,0.83066,0.4076,0.3479,0.78447,0.000809375,0.000809375,0.000809375
143,3192.01,0.43486,0.34998,0.8054,0.95782,0.8955,0.95771,0.83314,0.41176,0.34454,0.78717,0.00080625,0.00080625,0.00080625
144,3214.32,0.43947,0.34881,0.80631,0.95261,0.88673,0.95413,0.83535,0.39149,0.33944,0.78399,0.000803125,0.000803125,0.000803125
145,3236.6,0.42957,0.34345,0.80268,0.95205,0.89927,0.96008,0.84253,0.39802,0.33962,0.78516,0.0008,0.0008,0.0008
146,3258.9,0.4367,0.34245,0.80272,0.96251,0.89073,0.95977,0.83262,0.42531,0.34873,0.78774,0.000796875,0.000796875,0.000796875
147,3281.07,0.44126,0.34881,0.80584,0.94073,0.90173,0.95568,0.83727,0.40005,0.34695,0.78599,0.00079375,0.00079375,0.00079375
148,3303.39,0.43854,0.34966,0.80367,0.95299,0.89878,0.95644,0.83842,0.40026,0.3383,0.78768,0.000790625,0.000790625,0.000790625
149,3325.57,0.43915,0.3425,0.80802,0.95087,0.89275,0.95411,0.83531,0.41882,0.3487,0.78727,0.0007875,0.0007875,0.0007875
150,3347.92,0.44559,0.34503,0.80477,0.9322,0.9189,0.96006,0.84294,0.38831,0.33497,0.78497,0.000784375,0.000784375,0.000784375
151,3370.14,0.43293,0.34274,0.80355,0.95498,0.89024,0.9565,0.83701,0.40784,0.33552,0.78561,0.00078125,0.00078125,0.00078125
152,3392.32,0.43013,0.33992,0.80404,0.94902,0.90019,0.95825,0.84411,0.39064,0.33811,0.78553,0.000778125,0.000778125,0.000778125
153,3414.72,0.44203,0.34419,0.80459,0.94204,0.91611,0.95944,0.84062,0.39709,0.32968,0.78642,0.000775,0.000775,0.000775
154,3436.84,0.42814,0.34017,0.80245,0.94902,0.8951,0.95737,0.83829,0.39055,0.33386,0.7847,0.000771875,0.000771875,0.000771875
155,3459,0.43109,0.34396,0.80286,0.95723,0.89915,0.95809,0.84563,0.39058,0.32958,0.78599,0.00076875,0.00076875,0.00076875
156,3481.36,0.43794,0.34079,0.80481,0.96087,0.89505,0.96074,0.84853,0.38945,0.32445,0.788,0.000765625,0.000765625,0.000765625
157,3503.74,0.42669,0.33807,0.80272,0.94683,0.90294,0.95946,0.84049,0.40153,0.34174,0.78735,0.0007625,0.0007625,0.0007625
158,3526.06,0.43282,0.3428,0.80291,0.93038,0.9082,0.95533,0.83438,0.40592,0.35206,0.78797,0.000759375,0.000759375,0.000759375
159,3548.32,0.4318,0.34138,0.80358,0.95441,0.90466,0.9624,0.84427,0.39246,0.33856,0.78669,0.00075625,0.00075625,0.00075625
160,3570.64,0.43172,0.34242,0.8002,0.95266,0.88882,0.95834,0.8437,0.39835,0.33352,0.78441,0.000753125,0.000753125,0.000753125
161,3592.92,0.42667,0.33751,0.80451,0.95702,0.89288,0.9553,0.84311,0.39153,0.33552,0.78376,0.00075,0.00075,0.00075
162,3615.21,0.43924,0.33942,0.80413,0.94698,0.89332,0.9546,0.83643,0.41733,0.34143,0.78627,0.000746875,0.000746875,0.000746875
163,3637.35,0.43854,0.33908,0.80358,0.93868,0.89829,0.95599,0.84566,0.3836,0.33227,0.78432,0.00074375,0.00074375,0.00074375
164,3659.42,0.42353,0.33392,0.80324,0.95728,0.90883,0.96263,0.84539,0.3818,0.32277,0.78329,0.000740625,0.000740625,0.000740625
165,3681.64,0.43027,0.33385,0.80382,0.94971,0.90019,0.96185,0.84853,0.38327,0.32983,0.7837,0.0007375,0.0007375,0.0007375
166,3703.92,0.43354,0.33735,0.8032,0.95321,0.90285,0.96136,0.84431,0.38202,0.33205,0.78557,0.000734375,0.000734375,0.000734375
167,3726.22,0.43107,0.33439,0.80274,0.94698,0.89145,0.95398,0.8427,0.37962,0.33817,0.78749,0.00073125,0.00073125,0.00073125
168,3748.41,0.42103,0.32915,0.80222,0.95966,0.89294,0.9591,0.84293,0.38741,0.33478,0.78477,0.000728125,0.000728125,0.000728125
169,3770.71,0.41869,0.33343,0.80368,0.95009,0.8999,0.95634,0.83981,0.40882,0.33901,0.78777,0.000725,0.000725,0.000725
170,3792.95,0.42774,0.33639,0.80477,0.94898,0.903,0.9606,0.84752,0.37893,0.32946,0.78523,0.000721875,0.000721875,0.000721875
171,3815.17,0.42488,0.33157,0.80403,0.94271,0.91099,0.95727,0.84108,0.40215,0.33447,0.78589,0.00071875,0.00071875,0.00071875
172,3837.34,0.41435,0.32723,0.79912,0.95581,0.89651,0.95947,0.83489,0.43037,0.34183,0.78843,0.000715625,0.000715625,0.000715625
